generic,original_generic,category
Diarrheal fluid contains electrolytes.,diarrheal fluid contains electrolytes.,maj
Owls eat rats.,owls eat rats.,maj
Male peacocks have tail feathers.,male peacocks have tail feathers.,maj
Songbirds feed protein-rich insects to their growing young.,songbirds feed protein-rich insects to their growing young.,maj
Eagles go through life stages.,eagles go through life stages.,maj
Hummingbirds are bright in color.,hummingbirds are bright in color.,maj
Penguins have white breasts and a black back and head.,penguins have white breasts and a black back and head.,maj
Birds fly over water.,birds fly over water.,maj
Song sparrows feed on seeds.,song sparrows feed on seeds.,maj
Swans lose wing feathers.,swans lose wing feathers.,maj
Blue herons feed on insects.,blue herons feed on insects.,maj
Pelicans make nests.,pelicans make nests.,maj
Owls eat rodents.,owls eat rodents.,maj
Birds lift feet.,birds lift feet.,maj
Birds depend on water.,birds depend on water.,maj
Owls have flaps.,owls have flaps.,maj
Pelicans inhabit environments.,pelicans inhabit environments.,maj
Birds have slender bills.,birds have slender bills.,maj
Penguins have tiny capillaries.,penguins have tiny capillaries.,maj
Owls eat food.,owls eat food.,maj
Hawks eat owls.,hawks eat owls.,maj
Birds lay eggs.,birds lay eggs.,maj
Birds establish own territory.,birds establish own territory.,maj
Birds possess eggs.,birds possess eggs.,maj
Vultures have dark plumage and small.,"vultures have dark plumage and small, naked heads.",maj
Hawks live in trees.,hawks live in trees.,maj
Wild parrots live in areas.,wild parrots live in areas.,maj
Hairy woodpeckers nest in trees.,hairy woodpeckers nest in trees.,maj
Birds give birth to vertebrates.,birds give birth to vertebrates.,maj
Birds feed diets.,birds feed diets.,maj
Parrots are sexually monomorphic .,parrots are sexually monomorphic i.e. both sexes are identical in appearance.,maj
Birds breed during the day.,birds breed during the day.,maj
Hawks move legs.,hawks move legs.,maj
Immature birds have brownish eyes.,immature birds have brownish eyes.,maj
Pigeons reach sexual maturity.,pigeons reach sexual maturity.,maj
Birds produce vocal sound.,birds produce vocal sound.,maj
Owls move heads.,owls move heads.,maj
Duckweeds form dormant buds.,duckweeds form dormant buds.,maj
Owls stand on feet.,owls stand on feet.,maj
Penguins have a white chest and a black head .,penguins have a white chest and a black head .,maj
Birds feed on food.,birds feed on food.,maj
Hyacinth macaws have tongues.,hyacinth macaws have tongues.,maj
Domesticate birds make life.,domesticate birds make life.,maj
Birds have body temperature.,birds have body temperature.,maj
Birds are territorial and protect the area around their nests.,birds are territorial and protect the area around their nests.,maj
Hawks eat fish.,hawks eat fish.,maj
Bluebirds eat dead bugs.,bluebirds eat dead bugs.,maj
Birds feed in trees.,birds feed in trees.,maj
Birds have keener eyesight than humans do.,birds have keener eyesight than humans do.,maj
Birds have claws.,birds have claws.,maj
Penguins have spiny tongues.,penguins have spiny tongues.,maj
Ducks consume food.,ducks consume food.,maj
Owls live in nests.,owls live in nests.,maj
Hawks eat fowl.,hawks eat fowl.,maj
Birds eat red fruit.,birds eat red fruit.,maj
Diarrhea has color.,diarrhea has color.,maj
Large birds live on shores.,large birds live on shores.,maj
Birds eat fruit seeds.,birds eat fruit seeds.,maj
Common cuckoos have flight.,common cuckoos have flight.,maj
Birds have hollow bones to reduce weight to make flying easier.,birds have hollow bones to reduce weight to make flying easier.,maj
Songbirds have necks.,songbirds have necks.,maj
Pelicans nest in colonies.,pelicans nest in colonies.,maj
Penguins live in habitats.,penguins live in habitats.,maj
Downy woodpeckers have wings.,downy woodpeckers have wings.,maj
Birds mate by contact at the cloaca area.,birds mate by contact at the cloaca area.,maj
Lemurs live in madagascar.,lemurs live in madagascar.,maj
Toucans nest in tree holes.,toucans nest in tree holes.,maj
Birds require legs.,birds require legs.,maj
Penguins are located in coasts.,penguins are located in coasts.,maj
Kingfishers make their nests by burrowing into a sandy bank.,kingfishers make their nests by burrowing into a sandy bank.,maj
Birds live in places.,birds live in places.,maj
Bald eagles have beaks.,bald eagles have beaks.,maj
Ostriches have black feathers.,ostriches have black feathers.,maj
Birds eat animal food.,birds eat animal food.,maj
Hawksbills reach maturity.,hawksbills reach maturity.,maj
Pigeons have beaks.,pigeons have beaks.,maj
Lemurs have heads.,lemurs have heads.,maj
Penguins return to environments.,penguins return to environments.,maj
Birds collect fruit.,birds collect fruit.,maj
Pelicans live on lakes.,pelicans live on lakes.,maj
Sparrows eat seeds or small insects.,sparrows eat seeds or small insects.,maj
Rheas have claws.,rheas have claws.,maj
Owls eat mice.,owls eat mice.,maj
Cockatiels are very muscular in their shoulders and have the capacity for strong flight.,cockatiels are very muscular in their shoulders and have the capacity for strong flight.,maj
Birds use energy.,birds use energy.,maj
Birds have yellow skin.,birds have yellow skin.,maj
Penguins stand on feet.,penguins stand on feet.,maj
Macaws have yellow eyes.,macaws have yellow eyes.,maj
Birds store fat only in furcular and abdominal regions.,birds store fat only in furcular and abdominal regions.,maj
Turkeys eat insects.,turkeys eat insects.,maj
Owls seize animals.,owls seize animals.,maj
Birds have crests.,birds have crests.,maj
Hawks adapt to environments.,hawks adapt to environments.,maj
Lemurs eat fruit.,lemurs eat fruit.,maj
Hummingbirds return to nectar.,hummingbirds return to nectar.,maj
Owls rely on rodents.,owls rely on rodents.,maj
Hornbills are fruit eaters.,hornbills are fruit eaters.,maj
Little birds have bills.,little birds have bills.,maj
Parakeets possess feathers.,parakeets possess feathers.,maj
Penguins only take short naps.,penguins only take short naps.,maj
Birds migrate to warmer climates.,birds migrate to warmer climates.,maj
Penguins have numerous capillaries.,penguins have numerous capillaries.,maj
Pigeons eat food.,pigeons eat food.,maj
Parrots live in areas.,parrots live in areas.,maj
Ducks lose all wing feathers and are flightless.,ducks lose all wing feathers and are flightless.,maj
Birds have vision.,birds have vision.,maj
Albatrosses defend nest sites.,albatrosses defend nest sites.,maj
Kingfishers feed on fish.,kingfishers feed on fish.,maj
Penguins have predators.,penguins have predators.,maj
Birds possess beaks.,birds possess beaks.,maj
Waterfowls live in water.,waterfowls live in water.,maj
Small birds have ranges.,small birds have ranges.,maj
Flightless birds have heads.,flightless birds have heads.,maj
Mallards lay eggs.,mallards lay eggs.,maj
Robins eat bugs.,robins eat bugs.,maj
Dodo birds eat fruit.,dodo birds eat fruit.,maj
Birds have an oil gland on their rump at base of the tail.,birds have an oil gland on their rump at base of the tail.,maj
Rheas have wings.,rheas have wings.,maj
Birds eat commercial seeds.,birds eat commercial seeds.,maj
Birds have hollow bones.,birds have hollow bones.,maj
Toucans live in tropical rainforests.,toucans live in tropical rainforests.,maj
Birds have glands.,birds have glands.,maj
Numerous birds eat red fruit.,numerous birds eat red fruit.,maj
Birds have reproductive output.,birds have reproductive output.,maj
Wood storks eat fish.,wood storks eat fish.,maj
Birds have dark feathers.,birds have dark feathers.,maj
Birds molt completely at least once a year.,birds molt completely at least once a year.,maj
Elephant birds eat fruit.,elephant birds eat fruit.,maj
Birds feed on berries.,birds feed on berries.,maj
Woodpeckers prefer trees.,woodpeckers prefer trees.,maj
King penguins eat fish.,king penguins eat fish.,maj
Peregrine falcons feed on birds.,peregrine falcons feed on birds.,maj
Birds have delicate bones.,birds have delicate bones.,maj
Penguins have natural predators.,penguins have natural predators.,maj
Penguins have reddish color.,penguins have reddish color.,maj
Chickens live for months.,chickens live for months.,maj
Robins eat caterpillars.,robins eat caterpillars.,maj
Birds have dark color.,birds have dark color.,maj
Birds feed on blossoms.,birds feed on blossoms.,maj
Peregrine falcons have taper wings.,peregrine falcons have taper wings.,maj
Birds are classified as monogamous organisms.,birds are classified as monogamous organisms.,maj
Owls have backs.,owls have backs.,maj
Birds have an oil gland at the base of their tails.,birds have an oil gland at the base of their tails.,maj
Falcons lift wings.,falcons lift wings.,maj
Penguins come from birds.,penguins come from birds.,maj
Parrots are inside nests.,parrots are inside nests.,maj
Eagles eat fish.,eagles eat fish.,maj
Owls are rather large birds.,owls are rather large birds.,maj
Common cuckoos have direct flight.,common cuckoos have direct flight.,maj
Lemurs spend their time up in the trees.,"lemurs spend their time up in the trees, resting, sleeping, feeding, and even giving birth.",maj
Toucans have tongues.,toucans have tongues.,maj
Birds has-part wings.,birds has-part wings.,maj
Birds rely on worms.,birds rely on worms.,maj
Domestic fowl has shiny feathers.,domestic fowl has shiny feathers.,maj
Birds eat small seeds.,birds eat small seeds.,maj
Young birds eat animal food.,young birds eat animal food.,maj
Birds eat fresh food.,birds eat fresh food.,maj
Birds have glossy plumages.,birds have glossy plumages.,maj
Peacocks use feathers.,peacocks use feathers.,maj
Birds dont have teeth.,birds dont have teeth.,maj
Ducks have salt glands.,ducks have salt glands.,maj
Birds conserve energy.,birds conserve energy.,maj
Penguins have small feet.,"penguins have small feet, wings, and head.",maj
Penguins live on earth.,penguins live on earth.,maj
Peacocks have beaks.,peacocks have beaks.,maj
Atlantic puffins live in puffin colonies.,atlantic puffins live in puffin colonies.,maj
Owls are active at dusk and dawn.,"owls are active at dusk and dawn, spending the daytime at a quiet, inconspicuous roost.",maj
Owls eat voles.,owls eat voles.,maj
Birds have growth curves.,birds have growth curves.,maj
Hawks eat just about any animal.,"hawks eat just about any animal, such as small mammals, birds, and snakes.",maj
Owls use vision.,owls use vision.,maj
Penguins eat small fish.,penguins eat small fish.,maj
Dive birds have solid bones.,dive birds have solid bones.,maj
Birds lack teeth.,birds lack teeth.,maj
Peacocks have tail feathers.,peacocks have tail feathers.,maj
American robins feed on fruit.,american robins feed on fruit.,maj
Penguins have glands.,penguins have glands.,maj
Birds have colorful feathers.,birds have colorful feathers.,maj
Birds fly over oceans.,birds fly over oceans.,maj
Parrots sit on branches.,parrots sit on branches.,maj
Birds have dark beaks.,birds have dark beaks.,maj
Bird lungs fill up with air.,bird lungs fill up with air.,maj
Parrots have predators.,parrots have predators.,maj
Ducks have beaks.,ducks have beaks.,maj
Bluebirds eat bugs.,bluebirds eat bugs.,maj
Flightless birds use wings.,flightless birds use wings.,maj
Mallards swim in water.,mallards swim in water.,maj
Penguins inhabit southeast coasts.,penguins inhabit southeast coasts.,maj
Lorikeets have large muscles.,lorikeets have large muscles.,maj
Birds live in communities.,birds live in communities.,maj
Birds have low reproductive output.,birds have low reproductive output.,maj
Hummingbirds feed on nectar.,hummingbirds feed on nectar.,maj
Birds eat baobab fruit.,birds eat baobab fruit.,maj
Bowerbirds live on fruit.,bowerbirds live on fruit.,maj
Pigeons make eggs.,pigeons make eggs.,maj
Hawks eat voles.,hawks eat voles.,maj
Birds have four toes on their feet.,birds have four toes on their feet.,maj
Pet birds have wings.,pet birds have wings.,maj
Birds have skeletons.,birds have skeletons.,maj
Ostriches have long legs.,ostriches have long legs.,maj
Birds survive nights.,birds survive nights.,maj
Owls eat snakes.,owls eat snakes.,maj
Ducks live in woodlands.,ducks live in woodlands.,maj
Owls eat rabbits.,owls eat rabbits.,maj
Birds have a beak that is stiff and hard the whole length.,birds have a beak that is stiff and hard the whole length.,maj
Birds have backbones.,birds have backbones.,maj
Hummingbirds make nests.,hummingbirds make nests.,maj
Pigeons sit on nests.,pigeons sit on nests.,maj
Bowerbirds feed on fruit berries.,bowerbirds feed on fruit berries.,maj
Birds have guts.,birds have guts.,maj
Affected birds die in the first few days of life.,affected birds die in the first few days of life.,maj
Toucans consume fruit.,toucans consume fruit.,maj
Penguins make nests.,penguins make nests.,maj
Hammerhead sharks eat fish.,hammerhead sharks eat fish.,maj
